ID,Timestamp,Name,Action,Duration,Day,Hour,Total Drinks,Time In Class
0,1,Y,Co,0,0,0,0,0.0
1,10,I,Co,8,0,0,2,0.0
2,10,U,Co,8,0,0,0,0.0
3,10,M,Co,6,0,0,0,0.0
4,10,[,Co,6,0,0,0,0.0
5,10,_,Co,6,0,0,0,0.0
6,10,v,Co,3,0,0,0,0.0
7,10,F,Co,2,0,0,0,0.0
8,13,Z,Co,12,0,0,4,0.0
9,13,e,Co,11,0,0,0,0.0
10,13,N,Co,9,0,0,0,0.0
11,13,],Co,9,0,0,0,0.0
12,13,L,Co,6,0,0,0,0.0
13,17,B,Co,9,0,0,0,0.0
14,17,k,Co,9,0,0,0,0.0
15,17,M,Co,3,0,0,0,0.0
16,17,_,Co,3,0,0,0,0.0
17,18,Y,Co,9,0,0,2,0.0
18,18,F,Co,7,0,0,0,0.0
19,23,I,Co,7,0,0,3,0.0
20,23,[,Co,5,0,0,0,0.0
21,23,N,Co,5,0,0,0,0.0
22,23,L,Co,5,0,0,0,0.0
23,23,_,Co,3,0,0,0,0.0
24,23,e,Co,2,0,0,0,0.0
25,28,U,Co,16,0,0,3,0.0
26,28,v,Co,16,0,0,0,0.0
27,28,],Co,13,0,0,0,0.0
28,28,Z,Co,9,0,0,4,0.0
29,28,B,Co,9,0,0,0,0.0
30,28,F,Co,8,0,0,0,0.0
31,35,Y,Co,13,0,0,6,0.0
32,35,k,Co,10,0,0,0,0.0
33,35,[,Co,10,0,0,0,0.0
34,35,I,Co,9,0,0,3,0.0
35,40,M,Co,18,0,0,4,0.0
36,40,F,Co,11,0,0,0,0.0
37,40,Z,Co,10,0,0,4,0.0
38,40,B,Co,10,0,0,0,0.0
39,40,_,Co,9,0,0,0,0.0
40,41,N,Co,15,0,0,1,0.0
41,41,L,Co,15,0,0,0,0.0
42,41,e,Co,14,0,0,0,0.0
43,41,U,Co,5,0,0,3,0.0
44,45,],Co,9,0,0,0,0.0
45,45,[,Co,9,0,0,0,0.0
46,45,N,Co,3,0,0,1,0.0
47,45,e,Co,2,0,0,0,0.0
48,45,M,Co,1,0,0,4,0.0
49,48,v,Co,14,0,0,2,0.0
50,48,Y,Co,7,0,0,6,0.0
51,48,k,Co,7,0,0,0,0.0
52,48,I,Co,7,0,0,3,0.0
53,48,F,Co,7,0,0,0,0.0
54,48,_,Co,7,0,0,0,0.0
55,48,B,Co,3,0,0,0,0.0
56,52,],Co,0,0,0,0,0.0
57,59,Z,Co,15,0,0,9,0.0
58,59,L,Co,13,0,0,0,0.0
59,59,[,Co,13,0,0,0,0.0
60,59,U,Co,11,0,0,3,0.0
61,59,M,Co,11,0,0,4,0.0
62,62,N,Co,10,0,0,4,0.0
63,62,I,Co,10,0,0,3,0.0
64,62,_,Co,10,0,0,0,0.0
65,62,e,Co,9,0,0,0,0.0
66,62,k,Co,9,0,0,0,0.0
67,62,v,Co,8,0,0,2,0.0
68,62,],Co,7,0,0,0,0.0
69,63,B,Co,9,0,0,0,0.0
70,70,F,Co,14,0,0,2,0.0
71,70,U,Co,7,0,0,3,0.0
72,70,M,Co,7,0,0,4,0.0
73,70,N,Co,5,0,0,4,0.0
74,70,k,Co,5,0,0,0,0.0
75,71,Y,Co,15,0,0,8,0.0
76,71,[,Co,9,0,0,0,0.0
77,71,L,Co,6,0,0,0,0.0
78,71,e,Co,6,0,0,0,0.0
79,76,I,Co,9,0,0,4,0.0
80,76,],Co,8,0,0,0,0.0
81,76,B,Co,5,0,0,0,0.0
82,76,M,Co,4,0,0,4,0.0
83,76,U,Co,3,0,0,3,0.0
84,76,Y,Co,2,0,0,8,0.0
85,76,F,Co,0,0,0,2,0.0
86,85,Z,Co,19,0,0,14,0.0
87,85,v,Co,18,0,0,2,0.0
88,85,_,Co,16,0,0,0,0.0
89,85,L,Co,13,0,0,0,0.0
90,85,k,Co,11,0,0,0,0.0
91,85,[,Co,11,0,0,0,0.0
92,85,Y,Co,2,0,0,8,0.0
93,88,N,Co,12,0,0,8,0.0
94,88,e,Co,11,0,0,0,0.0
95,88,],Co,11,0,0,0,0.0
96,88,F,Co,10,0,0,2,0.0
97,88,I,Co,7,0,0,4,0.0
