ID,Timestamp,Name,Action,Duration,Day,Hour,Total Drinks,Time In Class
0,2,F,Co,0,0,0,0,0.0
1,3,J,Co,0,0,0,0,0.0
2,3,S,Co,0,0,0,0,0.0
3,5,R,Co,4,0,0,0,0.0
4,5,x,Co,4,0,0,0,0.0
5,5,v,Co,3,0,0,0,0.0
6,5,z,Co,3,0,0,0,0.0
7,6,],Co,0,0,0,0,0.0
8,6,`,Co,0,0,0,0,0.0
9,7,f,Co,0,0,0,0,0.0
10,8,o,Co,6,0,0,1,0.0
11,8,h,Co,5,0,0,0,0.0
12,9,v,Co,0,0,0,0,0.0
13,12,G,Co,10,0,0,3,0.0
14,13,S,Co,6,0,0,1,0.0
15,13,R,Co,3,0,0,0,0.0
16,16,F,Co,6,0,0,1,0.0
17,16,J,Co,6,0,0,0,0.0
18,18,V,Co,15,0,0,1,0.0
19,18,],Co,6,0,0,0,0.0
20,19,z,Co,10,0,0,3,0.0
21,19,v,Co,8,0,0,0,0.0
22,21,l,Co,18,0,0,6,0.0
23,21,`,Co,14,0,0,0,0.0
24,22,f,Co,7,0,0,1,0.0
25,23,x,Co,10,0,0,3,0.0
26,25,],Co,6,0,0,1,0.0
27,25,F,Co,4,0,0,1,0.0
28,26,h,Co,10,0,0,0,0.0
29,26,z,Co,0,0,0,3,0.0
30,27,S,Co,13,0,0,1,0.0
31,27,G,Co,12,0,0,3,0.0
32,29,F,Co,0,0,0,1,0.0
33,30,R,Co,15,0,0,4,0.0
34,30,V,Co,11,0,0,1,0.0
35,34,v,Co,12,0,0,2,0.0
36,34,x,Co,10,0,0,3,0.0
37,34,h,Co,0,0,0,0,0.0
38,34,G,Co,0,0,0,3,0.0
39,35,o,Co,22,0,0,6,0.0
40,35,`,Co,8,0,0,2,0.0
41,38,F,Co,6,0,0,2,0.0
42,38,],Co,5,0,0,1,0.0
43,38,G,Co,0,0,0,3,0.0
44,39,J,Co,18,0,0,0,0.0
45,39,S,Co,10,0,0,1,0.0
46,41,z,Co,12,0,0,7,0.0
47,41,V,Co,6,0,0,2,0.0
48,44,G,Co,4,0,0,3,0.0
49,44,`,Co,2,0,0,2,0.0
50,45,R,Co,8,0,0,5,0.0
51,45,f,Co,15,0,0,1,0.0
52,46,S,Co,0,0,0,1,0.0
53,47,l,Co,24,0,0,8,0.0
54,47,x,Co,10,0,0,3,0.0
55,47,R,Co,0,0,0,5,0.0
56,49,h,Co,7,0,0,0,0.0
57,51,J,Co,9,0,0,0,0.0
58,51,l,Co,3,0,0,8,0.0
59,52,`,Co,0,0,0,2,0.0
60,53,v,Co,17,0,0,6,0.0
61,53,F,Co,11,0,0,4,0.0
62,53,h,Co,0,0,0,0,0.0
63,54,V,Co,6,0,0,3,0.0
