ID,Timestamp,Name,Action,Duration,Day,Hour,Total Drinks,Time In Class
0,5,F,Co,4,0,0,0,0.0
1,7,N,Co,6,0,0,1,0.0
2,9,K,Co,8,0,0,2,0.0
3,9,Z,Co,8,0,0,2,0.0
4,11,Q,Co,9,0,0,0,0.0
5,13,p,Co,12,0,0,2,0.0
6,15,],Co,14,0,0,5,0.0
7,17,`,Co,15,0,0,2,0.0
8,21,P,Co,19,0,0,4,0.0
9,21,B,Co,18,0,0,3,0.0
10,21,x,Co,19,0,0,2,0.0
11,21,m,Co,19,0,0,1,0.0
12,23,H,Co,20,0,0,1,0.0
13,25,y,Co,23,0,0,0,0.0
14,29,Y,Co,26,0,0,2,0.0
15,29,M,Co,26,0,0,2,0.0
16,31,^,Co,28,0,0,2,0.0
17,33,n,Co,30,0,0,0,0.0
18,35,V,Co,32,0,0,3,0.0
19,39,J,Co,36,0,0,7,0.0
20,39,o,Co,36,0,0,2,0.0
21,39,R,Co,35,0,0,1,0.0
22,45,g,Co,42,0,0,6,0.0
23,45,l,Co,42,0,0,3,0.0
24,47,E,Co,42,0,0,2,0.0
25,49,_,Co,46,0,0,3,0.0
26,49,e,Co,45,0,0,3,0.0
27,57,I,Co,53,0,0,4,0.0
28,59,L,Co,55,0,0,5,0.0
29,59,O,Co,54,0,0,3,0.0
30,61,|,Co,57,0,0,0,0.0
31,63,d,Co,58,0,0,6,0.0
32,63,u,Co,60,0,0,5,0.0
33,63,D,Co,58,0,0,0,0.0
34,63,h,Co,58,0,0,0,0.0
35,67,r,Co,63,0,0,0,0.0
36,69,[,Co,64,0,0,2,0.0
37,71,U,Co,64,0,0,2,0.0
38,73,W,Co,68,0,0,1,0.0
39,73,A,Co,67,0,0,0,0.0
40,75,z,Co,69,0,0,4,0.0
41,79,a,Co,74,0,0,6,0.0
42,81,k,Co,75,0,0,2,0.0
43,81,T,Co,74,0,0,1,0.0
44,85,w,Co,78,0,0,5,0.0
45,87,t,Co,81,0,0,2,0.0
46,87,b,Co,80,0,0,1,0.0
47,87,v,Co,80,0,0,1,0.0
48,89,i,Co,84,0,0,6,0.0
49,91,f,Co,84,0,0,0,0.0
50,93,c,Co,85,0,0,2,0.0
51,93,G,Co,85,0,0,1,0.0
52,95,X,Co,87,0,0,2,0.0
53,95,S,Co,87,0,0,0,0.0
54,97,F,Co,74,0,0,0,0.027777777777777776
55,99,\,Co,92,0,0,3,0.0
56,101,{,Co,93,0,0,1,0.0
57,103,q,Co,95,0,0,3,0.0
58,103,s,Co,95,0,0,2,0.0
59,103,N,Co,71,0,0,2,0.027777777777777776
60,107,Q,Co,81,0,0,0,0.027777777777777776
61,109,Z,Co,77,0,0,4,0.027777777777777776
62,113,C,Co,105,0,0,5,0.0
63,113,m,Co,76,0,0,2,0.027777777777777776
64,113,H,Co,76,0,0,1,0.027777777777777776
65,115,p,Co,82,0,0,6,0.027777777777777776
66,117,K,Co,88,0,0,7,0.027777777777777776
67,121,j,Co,113,0,0,2,0.0
68,121,M,Co,79,0,0,4,0.027777777777777776
69,121,`,Co,82,0,0,4,0.027777777777777776
70,121,x,Co,81,0,0,3,0.027777777777777776
71,125,P,Co,83,0,0,6,0.027777777777777776
72,125,n,Co,76,0,0,0,0.027777777777777776
73,127,^,Co,79,0,0,3,0.027777777777777776
74,133,],Co,95,0,0,9,0.027777777777777776
75,133,Y,Co,86,0,0,6,0.027777777777777776
76,133,y,Co,85,0,0,2,0.027777777777777776
77,135,o,Co,76,0,0,5,0.027777777777777776
78,135,J,Co,75,0,0,9,0.027777777777777776
79,139,B,Co,99,0,0,4,0.027777777777777776
80,139,V,Co,84,0,0,4,0.027777777777777776
81,139,r,Co,60,0,0,0,0.027777777777777776
82,141,l,Co,83,0,0,5,0.027777777777777776
83,141,_,Co,78,0,0,4,0.027777777777777776
84,145,R,Co,92,0,0,2,0.027777777777777776
85,145,E,Co,79,0,0,2,0.027777777777777776
86,147,[,Co,59,0,0,4,0.027777777777777776
87,151,U,Co,60,0,0,2,0.027777777777777776
88,153,I,Co,77,0,0,6,0.027777777777777776
89,155,g,Co,92,0,0,9,0.027777777777777776
90,155,b,Co,56,0,0,1,0.027777777777777776
91,157,h,Co,76,0,0,0,0.027777777777777776
92,161,u,Co,84,0,0,14,0.027777777777777776
93,161,e,Co,89,0,0,11,0.027777777777777776
94,161,D,Co,78,0,0,0,0.027777777777777776
95,165,|,Co,82,0,0,0,0.027777777777777776
96,169,i,Co,61,0,0,11,0.027777777777777776
97,169,A,Co,78,0,0,0,0.027777777777777776
98,173,W,Co,80,0,0,5,0.027777777777777776
99,175,O,Co,100,0,0,11,0.027777777777777776
100,175,L,Co,90,0,0,10,0.027777777777777776
101,175,T,Co,80,0,0,2,0.027777777777777776
102,177,v,Co,67,0,0,3,0.027777777777777776
103,179,t,Co,71,0,0,3,0.027777777777777776
104,183,k,Co,84,0,0,4,0.027777777777777776
105,183,w,Co,82,0,0,7,0.027777777777777776
106,183,F,Co,66,0,0,0,0.05555555555555555
107,185,d,Co,105,0,0,9,0.027777777777777776
108,185,c,Co,70,0,0,4,0.027777777777777776
109,191,\,Co,79,0,0,5,0.027777777777777776
110,193,{,Co,66,0,0,4,0.027777777777777776
111,193,z,Co,102,0,0,6,0.027777777777777776
112,193,q,Co,72,0,0,5,0.027777777777777776
113,197,a,Co,97,0,0,11,0.027777777777777776
114,199,X,Co,81,0,0,4,0.027777777777777776
115,199,x,Co,66,0,0,4,0.05555555555555555
116,199,G,Co,84,0,0,2,0.027777777777777776
117,203,Q,Co,73,0,0,3,0.05555555555555555
118,203,f,Co,88,0,0,1,0.027777777777777776
119,203,n,Co,66,0,0,0,0.05555555555555555
120,205,N,Co,83,0,0,3,0.05555555555555555
121,209,s,Co,90,0,0,5,0.027777777777777776
122,209,p,Co,73,0,0,7,0.05555555555555555
123,209,S,Co,91,0,0,1,0.027777777777777776
124,211,y,Co,63,0,0,4,0.05555555555555555
125,215,H,Co,83,0,0,2,0.05555555555555555
126,215,m,Co,89,0,0,3,0.05555555555555555
127,221,`,Co,83,0,0,8,0.05555555555555555
