ID,Timestamp,Name,Action,Duration,Day,Total Drinks
0,1,I,Co,0,0,0
1,1,O,Co,0,0,0
2,1,R,Co,0,0,0
3,7,Y,Co,6,0,1
4,7,C,Co,5,0,0
5,7,E,Co,5,0,0
6,7,V,Co,5,0,0
7,7,T,Co,4,0,0
8,7,Z,Co,4,0,0
9,7,X,Co,3,0,0
10,7,Q,Co,2,0,0
11,7,G,Co,1,0,0
12,7,K,Co,1,0,0
13,7,\,Co,1,0,0
14,7,P,Co,0,0,0
15,16,H,Co,8,0,2
16,16,N,Co,8,0,0
17,17,^,Co,16,0,6
18,17,B,Co,15,0,0
19,17,D,Co,15,0,0
20,17,F,Co,15,0,0
21,17,],Co,15,0,0
22,17,U,Co,14,0,0
23,17,L,Co,13,0,0
24,17,M,Co,12,0,0
25,17,A,Co,11,0,0
26,17,J,Co,11,0,0
27,17,W,Co,11,0,0
28,17,[,Co,10,0,0
29,24,S,Co,16,0,2
30,24,O,Co,4,0,0
31,24,P,Co,2,0,0
32,27,I,Co,8,0,2
33,27,\,Co,8,0,0
34,27,X,Co,5,0,0
35,27,R,Co,4,0,0
36,33,Q,Co,6,0,1
37,33,Y,Co,6,0,1
38,33,E,Co,4,0,0
39,33,T,Co,4,0,0
40,33,K,Co,2,0,0
41,33,L,Co,1,0,0
42,33,H,Co,0,0,2
43,33,U,Co,0,0,0
44,34,V,Co,10,0,3
45,34,G,Co,8,0,0
46,34,Z,Co,8,0,0
47,34,C,Co,7,0,0
48,35,A,Co,0,0,0
49,41,W,Co,6,0,1
50,41,B,Co,5,0,0
51,41,N,Co,5,0,0
52,41,O,Co,2,0,0
53,42,D,Co,10,0,2
54,42,M,Co,10,0,0
55,42,F,Co,6,0,0
56,46,J,Co,6,0,0
57,46,X,Co,6,0,0
58,53,],Co,13,0,4
59,53,[,Co,11,0,0
60,53,S,Co,11,0,2
61,53,P,Co,8,0,0
62,53,\,Co,7,0,0
63,53,K,Co,3,0,0
64,53,A,Co,2,0,0
65,53,E,Co,1,0,0
66,53,H,Co,0,0,2
67,56,^,Co,13,0,9
68,56,I,Co,10,0,2
69,56,U,Co,9,0,0
70,56,Q,Co,7,0,1
71,56,R,Co,6,0,0
72,60,Z,Co,10,0,0
73,60,L,Co,8,0,0
74,64,T,Co,10,0,3
75,64,C,Co,7,0,0
76,64,V,Co,10,0,3
77,64,G,Co,4,0,0
78,64,Y,Co,8,0,1
79,64,F,Co,3,0,0
80,64,N,Co,6,0,0
81,72,O,Co,10,0,2
82,72,M,Co,8,0,0
83,72,D,Co,7,0,2
84,72,B,Co,6,0,0
85,72,P,Co,1,0,0
86,76,X,Co,15,0,4
87,76,W,Co,12,0,1
88,76,J,Co,11,0,0
89,76,],Co,7,0,4
90,76,\,Co,5,0,0
91,76,K,Co,5,0,0
92,86,A,Co,15,0,5
93,86,H,Co,14,0,2
94,86,R,Co,13,0,0
95,86,I,Co,13,0,2
96,86,[,Co,12,0,0
97,86,^,Co,11,0,9
98,86,L,Co,10,0,0
99,86,N,Co,1,0,0
100,88,S,Co,12,0,6
101,88,E,Co,11,0,0
102,88,T,Co,11,0,3
103,88,U,Co,10,0,0
104,88,Q,Co,9,0,1
105,88,Z,Co,7,0,0
106,92,F,Co,8,0,0
107,92,C,Co,7,0,0
108,92,M,Co,7,0,0
109,92,J,Co,3,0,0
110,98,Y,Co,13,0,5
111,98,V,Co,11,0,3
112,98,O,Co,11,0,2
113,98,G,Co,10,0,0
114,104,X,Co,14,0,8
115,104,B,Co,8,0,0
116,104,P,Co,8,0,0
117,104,W,Co,7,0,1
118,104,],Co,6,0,4
119,104,S,Co,1,0,6
120,108,D,Co,18,0,5
121,108,\,Co,16,0,0
122,108,I,Co,8,0,2
123,108,K,Co,7,0,0
124,108,N,Co,6,0,0
125,108,[,Co,5,0,0
126,116,A,Co,12,0,7
127,116,Z,Co,8,0,0
128,116,E,Co,6,0,0
129,116,U,Co,5,0,0
130,116,C,Co,5,0,0
131,118,L,Co,14,0,5
132,118,T,Co,12,0,3
133,118,R,Co,11,0,0
134,118,^,Co,11,0,9
135,118,Q,Co,11,0,1
136,118,M,Co,11,0,0
137,118,F,Co,5,0,0
138,128,V,Co,14,0,6
139,128,O,Co,9,0,2
140,128,],Co,6,0,4
141,128,X,Co,5,0,8
142,128,K,Co,5,0,0
143,128,S,Co,3,0,6
144,128,B,Co,2,0,0
145,130,H,Co,18,0,7
146,130,J,Co,18,0,0
147,130,Y,Co,17,0,5
148,130,G,Co,12,0,0
149,130,P,Co,7,0,0
150,130,\,Co,6,0,0
151,130,N,Co,4,0,0
152,138,W,Co,11,0,3
153,138,A,Co,7,0,7
154,138,E,Co,5,0,0
155,138,F,Co,4,0,0
156,138,L,Co,3,0,5
157,138,C,Co,2,0,0
158,144,I,Co,17,0,8
159,144,[,Co,16,0,0
160,144,D,Co,14,0,5
161,144,Z,Co,10,0,0
162,144,M,Co,9,0,0
163,150,R,Co,13,0,1
164,150,K,Co,5,0,0
165,150,S,Co,5,0,6
166,150,P,Co,5,0,0
167,150,B,Co,4,0,0
168,150,G,Co,4,0,0
169,154,^,Co,17,0,15
170,154,U,Co,14,0,0
171,154,Q,Co,14,0,1
172,154,T,Co,12,0,3
173,154,Y,Co,10,0,5
174,154,N,Co,10,0,0
175,162,\,Co,14,0,4
176,162,X,Co,14,0,8
177,162,],Co,11,0,4
178,162,W,Co,11,0,3
179,162,H,Co,9,0,7
180,162,C,Co,8,0,0
181,166,M,Co,5,0,0
182,166,[,Co,4,0,0
183,166,Z,Co,2,0,0
184,166,I,Co,1,0,8
185,172,V,Co,26,0,13
186,172,O,Co,24,0,2
187,172,J,Co,24,0,0
188,172,E,Co,14,0,0
189,172,F,Co,13,0,0
190,172,L,Co,13,0,5
191,174,D,Co,9,0,7
192,174,N,Co,7,0,0
193,174,B,Co,6,0,0
194,174,S,Co,5,0,6
195,174,Q,Co,4,0,1
196,174,Y,Co,4,0,5
197,180,A,Co,19,0,9
198,180,K,Co,9,0,0
199,180,U,Co,8,0,0
200,180,R,Co,7,0,1
201,180,G,Co,7,0,0
202,182,P,Co,12,0,2
203,182,T,Co,7,0,3
204,182,X,Co,4,0,8
205,182,I,Co,3,0,8
206,182,W,Co,2,0,3
207,189,C,Co,6,0,1
208,189,E,Co,4,0,0
209,189,F,Co,1,0,0
210,189,[,Co,0,0,0
211,189,D,Co,0,0,7
212,194,N,Co,4,0,0
213,194,Z,Co,3,0,0
214,194,S,Co,3,0,6
215,194,V,Co,3,0,13
216,194,Q,Co,3,0,1
217,196,^,Co,23,0,21
218,196,H,Co,15,0,7
219,196,M,Co,15,0,0
220,196,\,Co,15,0,4
221,198,J,Co,6,0,0
222,198,Y,Co,4,0,5
223,198,O,Co,3,0,2
224,206,],Co,24,0,7
225,206,B,Co,15,0,0
226,206,L,Co,12,0,5
227,206,K,Co,9,0,0
228,206,A,Co,6,0,9
229,206,U,Co,4,0,0
230,206,E,Co,0,0,0
231,212,X,Co,17,0,13
232,212,P,Co,16,0,2
233,212,G,Co,13,0,0
234,212,W,Co,13,0,3
235,212,R,Co,12,0,1
236,212,T,Co,9,0,3
237,213,C,Co,6,0,2
238,213,I,Co,5,0,8
239,213,N,Co,3,0,0
240,217,Z,Co,6,0,0
